pygame 2.5.2 (SDL 2.28.3, Python 3.11.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
closing 'properly' ??
         508710 function calls (500427 primitive calls) in 1.845 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    209/1    0.002    0.000    1.845    1.845 {built-in method builtins.exec}
    73/71    0.000    0.000    1.080    0.015 app.py:35(get_instance)
        1    0.000    0.000    1.080    1.080 app.py:42(configure_instance)
        1    0.000    0.000    0.766    0.766 app.py:109(start)
       26    0.002    0.000    0.740    0.028 __init__.py:1(<module>)
    212/6    0.001    0.000    0.416    0.069 <frozen importlib._bootstrap>:1165(_find_and_load)
    212/6    0.001    0.000    0.416    0.069 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    206/7    0.001    0.000    0.415    0.059 <frozen importlib._bootstrap>:666(_load_unlocked)
    199/7    0.001    0.000    0.414    0.059 <frozen importlib._bootstrap_external>:934(exec_module)
   475/13    0.000    0.000    0.413    0.032 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.406    0.406 splash.py:1(<module>)
        1    0.000    0.000    0.399    0.399 texteffect.py:1(<module>)
        1    0.300    0.300    0.311    0.311 {built-in method pygame.base.init}
       35    0.000    0.000    0.300    0.009 viewstate.py:34(update)
       35    0.000    0.000    0.300    0.009 gameplay.py:71(update)
        2    0.202    0.101    0.202    0.101 {built-in method time.sleep}
        1    0.000    0.000    0.186    0.186 joysticks.py:1(<module>)
        1    0.000    0.000    0.183    0.183 darwin_hid.py:1(<module>)
        1    0.000    0.000    0.181    0.181 darwin_hid.py:470(__init__)
        1    0.005    0.005    0.181    0.181 darwin_hid.py:480(_get_devices)
        1    0.000    0.000    0.175    0.175 cocoalibs.py:166(cfset_to_set)
        1    0.000    0.000    0.175    0.175 cocoalibs.py:171(<listcomp>)
  4526/16    0.003    0.000    0.175    0.011 cocoalibs.py:144(cftype_to_value)
       32    0.000    0.000    0.175    0.005 darwin_hid.py:269(get_device)
       16    0.000    0.000    0.175    0.011 darwin_hid.py:278(__init__)
       35    0.002    0.000    0.172    0.005 gameplay.py:347(level1)
     1500    0.010    0.000    0.134    0.000 agent.py:45(__init__)
       35    0.128    0.004    0.128    0.004 {method 'tick' of 'pygame.time.Clock' objects}
       35    0.013    0.000    0.127    0.004 sprite.py:545(update)
       35    0.000    0.000    0.115    0.003 viewstate.py:39(draw)
       35    0.011    0.000    0.115    0.003 gameplay.py:99(draw)
       16    0.082    0.005    0.114    0.007 darwin_hid.py:344(_get_elements)
    51000    0.041    0.000    0.114    0.000 agent.py:126(update)
        1    0.105    0.105    0.105    0.105 {built-in method pygame.base.quit}
        2    0.102    0.051    0.103    0.051 {built-in method pygame.display.toggle_fullscreen}
    54/27    0.000    0.000    0.100    0.004 {built-in method builtins.__import__}
     1501    0.087    0.000    0.087    0.000 {built-in method pygame.image.load}
